Index,Content,Label
1,"Campania electorală a început cu scandal la Timișoara: Ce a pățit primarul Dominic Fritz când lipea afișe /
Cu scandal și îmbrânceli, așa a început campania electorală, la Timișoara. Primarul în funcție a reușit cu greu să-și lipească afișele printre huiduielile susținătorilor AUR.
”Locul României este în Europa şi pentru asta avem nevoie de o forţă politică care să ne reprezinte cu cinste.",Negative
2,"Liberalii îi avertizează pe clujeni în privința lui Sărmaș (fost PNL), candidat la Primăria Cluj: ‘Minte cum îngheață apele’
Sabin Sărmaș(fost PNL-foto), candidat independent acum la PrimăriaCluj-Napoca, a declarat recent despre primarul ClujuluiEmil Boc(PNL), pe care îl contracandidează, că este „tot mai iritat” şi că ar numi acest comportament „sindromul dictatorului bătrân”, pentru că se află în poziţia de primar de 20 de ani şi mai vrea un mandat de patru ani (poziția lui Sărmaș,pe larg aici). Liberalii clujeni susțin însă că Sărmaș abia acum își arată adevărata față și îl acuză de minciună și oportunism: „un oportunist”, „demonstrează o lipsă de caracter”, „nu l-a văzut nici han-tătar prin Cluj”, „minte cum îngheață apele”, „un plagiator”, „partidele mai au și rebuturi” – sunt doar câteva din concluziile liderului PNL Cluj, europarlamentarulDaniel Buda, dar și a președintelui PNL Cluj-Napoca, viceprimarulDan Tarcea, când îl caracterizează pe fostul lor coleg liberal Sabin Sărmaș.
„Sabin Sărmaș s-a demonstrat de-a lungul timpul a fi un oportunist, care a profitat arzând unele etape în ceea ce înseamnă avansarea domniei sale în cariera politică. Dacă mă gândesc puțin, a ajuns consilier local arzând niște etape, nu era cel care să se fi validat de-a lungul timpului ca fiind un performer”, a declarat Daniel Buda pentru STIRIPESURSE.RO.",Negative
3,"Pe cifre - Gabriela Firea vs. Nicușor Dan
1. TRANSPORT PUBLIC
Gabriela Firea",Negative
4,"Primul VIRAL de campanie: ce candidat a spart gheața în prima zi?
10 mai marchează deschiderea oficială a campaniei electorale pentrualegerile localeși europarlamentare. După câteva luni în carecandidații tuturor partidelornu au avut restricții în comunicarea publică, regulile aplicabile până pe 8 iunie ora 7, când se încheie cele 30 de zile ale campaniei electorale, sunt mult mai severe.
Ca și în cazul anunțării candidaturii, primul care și-a publicat pe rețelele sociale facebook și tiktok, unde însumează aproape 2 milioane de urmăritori, un video de promovare care înregistrează recorduri de audiență, este primarul Sectorului 5.Cristian Popescu Piedone, candidatulPUSLpentru Capitală, a transmis un mesaj de mobilizare și îndemn la vot, în care continuă tema separării politicii de administrația locală.",Negative
5,"Mesajul BEC la debutul oficial al campaniei electorale
REGLEMENTĂRI PRIVIND ACŢIUNILE ELECTORALE
Campania electoralăpentru alegerile locale şi europarlamentare din data de 9 iunie începe vineri şi se încheiei în 8 iunie, la ora 7.00. Campania în audiovizual de va încheia în 7 iunie, la ora 7.00. Biroul Electoral Central recomandă competitorilor electorali să aibă un discurs echilibrat şi onest şi să evite denaturarea sau manipularea informaţiilor.",Negative
6,"A rămas definitiv - Cine sunt candidații la primăriile din București - Lista integrală
Pentru funcţia de edil general al Bucureştiului intră în cursă pe data de 9 iunie:
Candidaturile depuse la Birourile de Circumscripţie au rămas definitive miercuri seara.",Negative
7,"Tot ce trebuie să știi despre alegerile europarlamentare 2024. Este un puzzle cu 27 de piese - Ce alege România, cât câștigă un europarlamentar
DATELE ALEGERILOR
La începutul lunii iunie, cetăţenii UE îi aleg pe cei 720 de legislatori care vor formaParlamentul Europeanpână în 2029. Alegerile pentru Parlamentul European sunt, conform propriilor cuvinte ale instituţiei, cele mai ample alegeri transnaţionale din lume. Dar, la o privire mai atentă, sunt de apt o colecţie de 27 de alegeri diferite - pe care diferitele ţări le organizează în maniere foarte diferite.",Negative
8,"Ministrul Muncii s-a întâlnit cu omologul său spanion: Măsurile decise vizează toți românii care muncesc în Spania
Ministrul Muncii şi Solidarităţii Sociale,Simona Bucura-Oprescu,cu omoloafa sa din Spania Yolanda Diaz Perez, joi la Madrid. Principalele teme de discuţie vizând cooperarea în domeniul economiei sociale, în domeniul ocupării şi Inspecţiei Muncii, dar şi acordarea dublei cetăţenii pentru românii din Spania.
Cei doi oficiali au agreat, la solicitarea ministrului Simona Bucura-Oprescu, completarea Memorandumului de înţelegere privind cooperarea dintre cele două ministere semnat în noiembrie 2022 în domeniul economiei sociale, arată comunicatul de presă al Ministerului Muncii.",Negative
9,"Eugen Tomac: Dreapta Unită începe să devină o stare de spirit
Preşedintele PMP,Eugen Tomac, a declarat joi seara, la Timişoara, căDreapta Unităa început să devină ""o stare de spirit"", modelul politic care îi sperie pe cei care ""guvernează prin minciună"" şi prin instrumente cu ajutorul cărora ""şantajează primarii"" Dreptei Unite, relatează agerpres.
""Dreapta Unită începe să devină o stare de spirit, acel model politic care îi bagă în sperieţi pe cei care guvernează prin minciună, prin instrumentele pe care le utilizează pentru a ne şantaja primarii, pentru a ne face dosare, pentru a ne racola aleşii locali, pentru a arăta că ei doar prin aceste apucături comuniste pot să se menţină la putere. 9 iunie este ziua în care vom putea să ne luăm revanşa. Şi trebuie să le spunem românilor că dacă vor ca partidul unic să plece acasă, pe 9 iunie trebuie să susţină Dreapta Unită. Dacă vor să îl lăsăm pe 9 iunie pe Iohannis fără acel palat de faraon din Bucureşti să iasă să voteze cu Dreapta Unită"", a susţinut Eugen Tomac, în cadrul unui miting dedicat Zilei Europei.",Negative
10,"Cătălin Drulă: Iohannis a trădat voturile românilor dând guvernarea către PSD
Preşedintele USR,Cătălin Drulă, a declarat, joi, la Timişoara, că şeful statului,Klaus Iohannis, ""a trădat"" voturile românilor care l-au ales, în urmă cu zece ani, dând guvernarea cătrePSDşi lui Marcel Ciolacu iar acum oamenii sunt dezamăgiţi.
""Iohannis a trădat acele voturi şi a dat guvernarea către PSD şi lui Ciolacu, aşa că oamenii sunt dezamăgiţi, pentru că PNL şi PSD i-au minţit, s-au aliat la guvernare, au promis stabilitate şi dezvoltare şi ce au dat? Taxe mai mari, corupţie, scumpiri şi nesiguranţă. Vreau să mergem în campanie şi să le spuneţi oamenilor cu încredere că nu-i vom lăsa să ne fure viitorul. România poate fi guvernată bine. Când am fost la guvernare, am făcut PNRR, cel mai mare program de modernizare a ţării de după 1989. Sunt 28 de miliarde de euro pentru şcoli, spitale, autostrăzi, căi ferate, investiţii cu banii alocaţi pentru fiecare. PNRR este şansa noastră să prindem din urmă statele din vest. Este adevăratul plan de ţară şi a fost creat de USR"", a afirmat Cătălin Drulă la un miting dedicat Zilei Europei.",Positive
