Index,Content,Emotion
1,Tomac susține că Iohannis nu are șanse să devină șef al Consiliului European. ”Este mult prea departe acest scenariu”,Frica
2,"Prefectul Capitalei, despre achiziționarea minicentralelor: ”O măsură tardivă luată doar pentru a se putea invoca în campanie”",Neutru
3,Analiză: Românii vor din nou un președinte jucător. Pe cine?,Bucurie
4,Analiză: Cine salvează țara? Căpitanul și noii legionari?,Neutru
5,Ședință cu miză uriașă a coaliției PSD-PNL. Este discutată oficial comasarea alegerilor. Scenariul luat în calcul,Tristete
6,Cum a ajuns Iohannis în echipă cu Erdogan și Viktor Orban,Furie
7,Lista cu noile alimente cu preț plafonat: s-au scos mai multe alimente și au fost adăugate untul și magiunul. „Combatere a creşterii excesive a preţurilor”,Bucurie
8,"CTP are o întrebare pentru Klaus Iohannis: ”Va continua să țină blocat, așa cum face de 30 de ani?”",Frica
9,"Dan Negru, viitor primar? Reacția vedetei: ”Eu nu știu de unde vine apa caldă...”",Furie
10,Moartea unui om politic - pomenirea și lecțiile acesteia. Partea I: de ce trebuie să (ne) criticăm liderii?,Neutru
11,"Emilia Șercan demască gestul făcut de Adrian Cioroianu: ""O mârșăvie inimaginabilă""",Frica
12,"""Universităţile ar trebui să se ocupe de performanţă academică, nu imobiliară"". O nouă ordonanță de urgență scoate oamenii în stradă",Furie
13,"Decizie a Curții de Justiție a UE: ""Statul român nu are voie să îți taie buletinul, dacă tu ai domiciliul în străinătate!""",Bucurie
14,28 ianuarie 1990 – ziua în care respectul poporului ceh față de România s-a schimbat cu 180 de grade,Bucurie
15,Deputata AUR care militează pentru introducerea castrării chimice în cazul pedofililor și violatorilor: ”E singura soluție”,Furie
16,Fostul șef al SRI critică dur declarațiile lui Claudiu Târziu (AUR): ”Discursul îi convine cel mai mult lui Putin/ Se joacă cinic cu o temă fierbinte”,Frica
17,"Trei parlamentari români, victimele unei grupări globale de spionaj a Chinei. Dezvăluirile Departamentului de Justiţie al SUA",Tristete
18,"Analiză: De ce românii nu-i vor pe Ciucă, Ciolacu și Drulă?",Frica
19,"”Greii” europeni care vin Congresul de la București din 6-7 martie. Printre cei prezenţi va fi cancelarul Austriei, Karl Nehammer",Neutru
20,"Efectele plafonării prețurilor alimentelor de bază: ”Inflația este la jumătate, nu a existat penurie”",Furie
21,"Ciolacu anunță plafonări ”oriunde există speculă”. Energie și gaze, RCA și dobânzi, deja pe listă",Tristete
22,"Eroul anticomunist Liviu Corneliu Babeş are statuie, după 35 de ani. Allen Coliban: ""A fost un gest suprem de renunţare la sine""",Neutru
23,Politicienii români care au fost țintiți de hackeri sprijiniți de Rusia. „Agresiunile se desfășoară împotriva demnitarilor vocali”,Neutru
24,"Tőkés, autonomia și (im)posibila recuperare a maghiarilor",Neutru
25,2024 – an decisiv pentru națiunea română,Tristete
26,"Fostul baron de Gorj Dan Ilie Morega ar fi fost prins la volan fără permis. Ajuns la 78 de ani, își conducea mașina prin Târgu Jiu",Bucurie
27,Ce recorduri bat primarii USR,Bucurie
28,"Ministra Muncii, despre impozitul zero pentru familiile cu salariu minim: „Facem o analiză în momentul acesta”",Neutru
29,Ministerul de Finanţe vrea să dezgheţe creşteri salariale în sectorul bugetar. Informația esențială care lipsește din proiectul de OUG,Tristete
30,"Emilia Șercan dezvăluie scurt circuitul făcut de Adrian Cioroianu, care a divulgat public o informație cu privire la Mircea Geoană",Tristete
31,Ciolacu spune că a văzut documentele cu „regim secret” privind interdicția lui George Simion de a intra în Ucraina şi Moldova. „O decizie întemeiată”,Neutru
32,Proiect pentru plafonarea adaosului comercial la 20 la sută pentru produsele românești. „La produsele din import să pună orice adaos doresc ei”,Neutru
33,"REPER acuză USR de plagiat. „Fără hoţie ajungem departe, un slogan care pare a fi uitat în goana după voturi”",Tristete
34,"Bugetul Capitalei pe 2024, evaluat la 6,5 miliarde de lei: ”E întocmit cu colegii de la USR și PMP”",Furie
35,"Adevăruri, minciuni și statistici",Tristete
36,"Un nou pachet de sancțiuni pentru Rusia, susținut de România. „Lucrăm la un mesaj comun ca urmare a morţii disidentului rus”",Frica
37,Pliante de propagandă politică capsate de taloanele de pensii distribuite în ianuarie. PSD cere informații despre tariful perceput,Furie
38,"Nicolae Ciucă a convocat Senatul în sesiune extraordinară. Ordonanţele adoptate de Guvern la solicitarea protestatarilor, luate în discuție",Neutru
39,Cum ar putea toți copiii români din diaspora să învețe limba română,Frica
40,Încă 4 ani. Ghinion!,Neutru
41,Cine sunt primarii care au alocat sume record pentru Educație,Furie
42,"Miting antiextremism organizat la Suceava. „Să rupă clanţa uşii, să înjure, să facă fel de fel de atacuri nedemocratice”",Frica
43,"Marcel Ciolacu și George Simion, reacții după moartea fostului ministru Ilie Șerbănescu",Tristete
44,Cine sunt primarii care au recuperat hectare de spații verzi din mâinile mafiei imobiliare,Frica
45,"Primar prins în timpul unei aventuri amoroase cu o angajată. “Mă, nu vă e rușine, mă? În timpul serviciului?”VIDEO",Bucurie
46,"Care este valoarea tezaurului furat de ruși României, conform evaluării actuale în euro",Furie
47,"Ruperea coaliției, „fake news-ul săptămânii”, în viziunea unor lideri liberali. „Pentru că nu s-au comasat nişte alegeri”",Furie
48,Închiderea supermarketurilor în weekend. Ministrul Agriculturii: ”Nu putem obliga românii să meargă la orele pe care le indică statul”,Neutru
49,PSD susține că salariul minim european va fi introdus în România până la finalul anului. Impactul asupra mediului privat,Tristete
50,Guvernul prelungește valabilitatea cardurilor de energie: ”Pentru a se putea plăti facturile care ajung cu întârziere”,Frica
51,"La Sectorul 6, Mihaela Ștefan, candidatul USR, dezvăluie secretul reușitelor primăriei: „Au existat mereu doi primari - care au lucrat în tandem”/ „Cu PSD în alianță, Ciucu va fi un cal mort!”",Tristete
52,"O cunoscută jurnalistă, fost președinte TVR, vrea s-o dea jos de la primărie pe Olguța Vasilescu: ”Sătui de găști și sinecuri”",Bucurie
53,USR cataloghează vizita lui Ciucă și Ciolacu pe șantierul A7 drept ”fanfaronadă”: ”În 2024 vom circula doar pe 10 km din 320”,Bucurie
54,Ministrul Afacerilor Externe anunță că nevoile civililor palestinieni vor continua să fie o prioritate pentru România,Bucurie
55,Neputința statului în fața evaziunii fiscale și corupției. Daniel Fenechiu (PNL): “Nu e mai simplu să îți recuperezi banii azi fără să îl bagi în pușcărie?”,Bucurie
56,"Lider PNL, despre blocajul din coaliție pe comasarea alegerilor: „Este legat de faptul că Marcel Ciolacu se doreşte a fi preşedintele României”",Tristete
57,"Raport negativ despre democrația din România: ""Situația s-a înrăutățit în anul 2023. Justiția își sacrifică independența pentru a servi interesele actorilor politici",Frica
58,"Tehnica averii deținute pe firmă. Cîrstoiu are apartamente, un penthouse și bolizi de lux, pe lângă bunurile declarate",Furie
59,"Premierul, despre dotarea cu armament a inspectorilor ANAF: ”Tragi după camioane, eşti John Wayne?”",Neutru
60,Analiză: Pericolul rusesc și schizofrenia românească,Tristete
