Index,Content,Emotion
0,"  Mai lung imi pare tweetul , acum , cu o in față Aș da un retweet , dar lacătul din pulpă nu mă lasă ...",Neutru
1,"Este o bucurie să vezi atât de multe ramuri verzi în vânt și atâtea flori înfloritoare , este o mare bucurie , deoarece în sângepur este primăvara .    21martie",Bucurie
2,"Peste 10.000 de morţi în lume în pandemia covid-19 . ONU , alarmat de creşterea cazurilor în ţările sărace ...",Frica
3,"Un de TIR a băgat groaza în pasagerii dintr- un autobuz , pe drumul dintre Alexandria și București   ( video )",Frica
4,Comentariile imi trimit un fior pe sira . Asta -i generatia educata postmodernist .,Frica
5,- My life is love and joy ( Viața mea e iubire si veselie )   via,Bucurie
6,"   Rromi in loc de a venit tot pe filiera politically correct'ul sufletului , cand ONG'urile puhii , alea cu diverse "" discriminari "" au mai inventat o minoritare si au derivat cuvantul asta dupa limba tiganilor cunoscuta",Furie
7,"Un şi- a ucis apoi şi- a pus capăt zilelor , de teamă că nu -şi va mai putea îngriji animalele în pandemie",Frica
8,"Ai comandat o trezire ? Serviciul de livrare va fi efectuat dimineața . Plata pentru livrare – un zâmbet !     Astăzi când te vei trezi , vei citi mesajul meu și vei zâmbi dulce , pentru că e pentru tine",Bucurie
9,E foarte amuzant 🤣 am ras azi intr- una :))),Bucurie
10,"     Ăsta serviciu în sprijinul și slujba contribuabilului , bravo ! La noi Poșta nu este în stare să livreze la timp nici o amărâtă de scrisoare , vai de capul nostru",Tristete
11,"  pe mn ma doare n pula si cu aia pornita si cu aia oprita stau in pat ca vaca indiferent ce o sa mi faca , ma dau afara din clasa ?",Furie
12,"  Cind te saturi de o clasă politică te duci la vot și faci toate listele harcea-parcea . Tai tot . Îți exprimi opinia pregnant . Cum ar arăta : prezență la vot 65% , voturi valabile 5% ? E un mesaj clar , nu ? Dar așa ... În cea mai mare parte ,",Furie
13,"Nu mai știu ce simt parca aș fi fericită dar nu sunt , na doare sufletul când vorbesc , nu mai am susținere , îmi pare rau dacă nu o sa mai postez o vreme dar m- am descurajat și nu mai am nicio inspirație . Știu că azi toți postează "" yey ziua copilului """,Tristete
14,E îndurerat că nu poate da vina pe Pe- Se- De !,Tristete
15,Alegerile lui Iohannis : urmează 4 ani de scandal și nicio reformă promisă ...,Furie
16,iar a apucat -o pandaliile pe jur cred că o aude tot blocul că nu știe să vorbească ca un om normal,Furie
17,"  Va dati seama cum vor arata salile de judecata ? Unde mai e solemnitatea sedintei in tot circul asta?Dar pt cei arestati preventiv nu au costume de protectie ? Nu de alta , dar ar face o nota discordanta   Pe timpul starii de urg , sedintele nu",Furie
18,"Dragoste cu năbădăi : Cum s- au dat pe mâna două beiușence , din pricina unui arab",Furie
19,"  te- ai uitat și tu , nu -i asa ? eu una regret ca am facut -o ca mi- am pierdut prea mulți neuroni 😓 😓 😓",Tristete
20,sunt foarte deprimat,Tristete
21,Curaj si amuzament!romaniiautalent,Bucurie
22,"8 Martie cu zâmbet ! 🌹 🌷 Încă din prima zi de primăvară și până astăzi , zilnic , am încercat să aduc un zâmbet pe chipul doamnelor și domnișoarelor , să le ofer câte o floare și să le transmit un gând bun .   O primăvară …",Bucurie
23,"M- am supărat pe Tidal   ; Spotify și am trecut la ăsta . 5 lei am plătit pe , eu zic că face .",Furie
24,"Am un vecin care locuiește singur . 94 de ani . Cardiopathic . Vara iese în pantaloni trei sferturi și teniși . L- am dacă el se teme de virusul coroana , mi- a răspuns cu un zâmbet viclean și jenat că se uită la tv puțin și încă nu înțelege ce este .   El e leacul pentru CV",Bucurie
25,Nici măcar nu știu sa fac poze la ecran cu asta 🙈 🙈 🙈 🙈 îl omor pe Alex și ai trimit bonul sa deconteze ... cine are nervi de atâtea noutăți ? 🙄 🙄,Furie
26,"Când cineva nu respectă distanța în magazin , tușește sec în timp ce- ți pui îngrijorat palma pe frunte .",Frica
